,sensor2,sensor4,sensor6,sensor8,sensor10,sensor12,sensor14,sensor16,sensor18,sensor20,sensor22,sensor24,sensor26,sensor28,sensor30,sensor32
2019-11-05 00:00:00,126.93368149999999,107.328125,84.78687286499999,99.578834515,100.292511,90.41385651,86.18585586500001,78.8816185,93.06074779333335,105.16816456666668,96.15862020333333,127.13914869999999,79.99467277000001,102.4869308,101.6919403,88.63651276
2019-11-05 00:01:00,120.54223629999998,99.8720894,92.26137287333331,110.4151688,94.67631151500001,82.72753906,97.29679869,91.45230611333334,108.46483612000002,110.18800863,91.697349555,72.354791645,90.95718384,121.58595279999999,103.5868632,51.7830925
2019-11-05 00:02:00,102.6477737,86.383228295,83.691719055,106.51750179999999,98.23757935,88.946590425,101.22418593,84.92415619333333,113.09170784000001,92.48662820666668,115.2237778,131.84248350000001,115.08579250000001,103.2887115,115.34986368666667,89.851135255
2019-11-05 00:03:00,96.385818465,91.21230316,86.69586182,98.65893555,100.90511704,101.452678695,85.174327855,89.64615247333334,133.59892655,79.59112358,98.22335559999999,101.9931488,93.80852509,120.076004,106.4984054425,82.82635497999999
2019-11-05 00:04:00,84.95710371000001,103.51451492500001,94.09786477333334,98.633747105,98.15501148,102.65883638,106.74246216333331,86.23257445333333,107.69884495,104.37916821666666,83.30561067,105.8579381,102.204914105,122.1171646,105.16058861333333,82.27096176
2019-11-05 00:05:00,90.317966465,87.924747465,103.40165328500001,90.685295105,101.047138225,106.51486970333333,120.06137085,88.56339772666666,102.66520947,101.18304697,97.29693985,115.20724105,111.2707405,88.189430235,99.32572176,86.68322754
2019-11-05 00:06:00,91.070518475,98.31044006,85.97716522,98.11987304499999,114.51638795000001,109.93319448333334,86.92411041,71.35292053500001,104.88704172,77.01004918333332,115.19647979999999,125.02326200000002,97.73974609,117.784935,88.65046056333334,85.59294891
2019-11-05 00:07:00,103.7328796,101.4351883,98.163864125,103.39300539999999,104.73698171333335,98.55715560499999,79.67862701,78.14733124,109.26379015,111.11254120000001,118.9743652,100.667099,100.46635944333333,106.4932175,118.0662918,93.440963755
2019-11-05 00:08:00,91.4551239,110.19820403,104.0883408,133.87644195000001,109.89039609999999,90.41405487,100.3785095,71.08575821,97.09922281333333,106.50602470666668,108.41709138,84.853939055,93.40033342,136.49215700000002,,76.59979248
2019-11-05 00:09:00,113.44161607999999,115.18134309999999,104.1898117,89.50291444,98.564502715,88.695770265,73.77569198500001,65.61745262000001,95.77195483999999,112.70983505499999,85.11997986,110.14703115666667,108.18547825,86.06012344,87.164554595,83.729946135
