,sensor2,sensor4,sensor6,sensor8,sensor10,sensor12,sensor14,sensor16,sensor18,sensor20,sensor22,sensor24,sensor26,sensor28,sensor30,sensor32
2019-11-06 00:00:00,109.37279509999999,128.309433,86.63665771,99.36954243333332,96.30547078666666,101.157417285,98.64669418,84.38606262333333,105.27065784666667,91.28158314666666,114.08588406666667,78.42995644999999,102.55111312,109.20285030000001,122.02131400333333,93.21886062000002
2019-11-06 00:01:00,99.90207291333333,107.40745545000001,100.52819568,96.74866229999999,93.73016866333334,97.99051666,86.518867515,85.59483845666666,89.43497467,84.852004995,83.839075065,111.86112595,95.90790558500001,232.17860409999997,105.26806640000001,85.134277345
2019-11-06 00:02:00,105.4005203,91.77079773,112.71697240000002,105.53285978,110.037265795,108.18488058333332,90.23759459,83.86798860333333,99.94337718999999,114.39348095333332,93.90940857000001,88.49157969,96.3161583,109.94093325,110.4134598,75.16614914
2019-11-06 00:03:00,118.69651029999999,90.55702972,86.511116025,109.514503485,88.25777818,80.58692422666667,91.14686203,78.24579365999999,107.39118959999999,102.04057565666666,91.66130320333332,141.54483795,123.53175734999999,118.0331726,101.547660845,93.085765855
2019-11-06 00:04:00,78.99011802999999,101.888179775,77.24856947,,101.80624007,87.81384785666665,100.06093853333333,72.59361521333334,106.42039232666666,93.44848377333334,115.65069836666665,109.8420334,106.57727050000001,120.27910609999999,97.11128744,81.6961441
2019-11-06 00:05:00,100.2576828,86.55948893333334,97.43957901,99.28215029,85.7741661,98.55606080333332,75.38111368666667,94.78373972666668,104.439929965,109.96025083,90.525012975,119.4252625,100.76128390000001,89.96561814,72.64432462666666,82.38943863
2019-11-06 00:06:00,103.38778305,91.42755890000001,95.00394440000001,90.75967151666667,99.4569702,80.67329407,74.01229477333334,91.54174039333333,108.18960570999998,104.89475630000001,103.8391266,117.2411461,107.77384185000001,110.01581570000002,102.15637971500001,97.20423889
2019-11-06 00:07:00,107.9424515,108.64839939999999,101.03103383666667,104.80867512333333,101.685409535,82.21515401666667,99.02903748,74.32537841666667,87.52016448666667,98.16054535,99.22824861333334,97.69893901,99.36423491333333,82.89788055,81.19681549,80.73698425
2019-11-06 00:08:00,103.43130873,100.49774678,87.33035276499999,87.95854187,102.302143085,90.94345856333332,86.53436787666668,72.97867012,115.7445831,107.21081035000002,98.08133187666665,101.9768677,99.20782471,125.4591064,131.96442795,95.482269285
2019-11-06 00:09:00,101.23396300666667,84.40761566,107.31431574999999,100.814826945,91.79973222,98.20347595,76.55404663,82.63067882,116.70136260000001,110.44617461666667,101.47490690000001,98.41086578,84.68787129666667,132.3055725,88.915611265,68.09915161
2019-11-06 00:10:00,93.689788795,97.70296096999999,78.74893760500001,100.444095635,89.96184539,87.86530813000002,103.379379295,87.94203440333335,98.12494406,97.20920562500001,97.36901474000001,83.77238083499999,104.55830379999999,122.084198,97.53206635,90.24869537
2019-11-06 00:11:00,107.4329834,86.74005511,96.09952545,96.59407041666667,100.7003746,94.63733673499999,100.02171324000001,84.55576832999999,89.80185700999999,103.87840272,113.63805899666666,134.1072845,89.293292975,,107.0175858,93.27967071500001
2019-11-06 00:12:00,101.70601908999998,111.7011871,98.2975235,96.95293425333334,89.51194383,88.27082571333334,77.24630737333332,84.50863775,110.21115110000001,123.47273506666666,116.7989426,104.561561595,96.22194671666666,113.3591156,111.78808590000001,
2019-11-06 00:13:00,94.359977715,93.65410616,100.0022278,108.84894559333334,98.55473706500001,89.78616587333333,85.927780155,86.75541685666667,120.88677724999998,104.99161275333334,94.20417787000001,64.23321533,95.43511963,114.2902145,,84.17497253
2019-11-06 00:14:00,117.66736599999999,100.66726686500002,83.57477188499999,108.90218736,78.50687535333333,87.35144806,105.99334206000002,95.08583577333333,91.658950805,110.55828348,75.87067985499999,107.6103973,108.82727050000001,,102.71513365499999,67.91524252
